requirement_id,requirement_type,priority,requirement_status,requirement,element_type,element_id,element,owner
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-api-keyvault,Read versioned configuration secret,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-api-monitor,Emit correlated service telemetry,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-apim-api,Authorize and invoke order API,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-backup-db,Restore selected recovery point,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-bus-fulfillment,Deliver OrderCreated v2,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-customer-platform,Place and track order,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-customer-web,Enter order,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-db-backup,Protect PITR backup and recovery metadata,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-db-monitor,Export database health and audit logs,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-flux-api,Apply health-gated deployment,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-frontdoor-apim,Forward approved request,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-git-flux,Reconcile approved environment commit,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-git-pipeline,Trigger reviewed build,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-partner-frontdoor,Partner create order,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-partner-platform,Submit contracted order API,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-pipeline-registry,Push scanned and signed image,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-registry-flux,Verify signed image digest,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-web-frontdoor,Create order request,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-worker-bus,Publish OrderCreated v2,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-worker-db,Claim unpublished outbox rows,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_binding,ui-binding-submit-order,Create order using the approved order API contract,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_component,ui-component-order-form,Order review form,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_component,ui-component-page-header,Checkout page header,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_component,ui-component-status-panel,Order status panel,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_flow,ui-flow-submit-order,Review and submit an order,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_navigation,ui-navigation-order-entry,Open a saved checkout deep link or return from the order list,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",ui_screen,ui-screen-order-entry,Review and submit order,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,aks-runtime,07 · AKS workload runtime,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,azure-deployment-network,03 · Azure deployment and network,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,data-flow,05 · Data flow and classification,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,delivery-gitops,08 · Delivery and GitOps controls,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,logical-containers,02 · Logical services and integrations,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,observability-operations,09 · Observability and operational ownership,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,order-sequence,06 · Critical order sequence,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,security-trust,"04 · Security, identity, and trust boundaries",
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,system-context,01 · System context,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,ui-customer-order-flow,Customer order submission user flow,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,ui-order-entry-compact-view,Order entry · compact responsive wireframe,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,ui-order-entry-state-map,Order entry screen-state contract,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",view,ui-order-entry-wide-view,Order entry · wide responsive wireframe,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_binding,ui-binding-submit-order,Create order using the approved order API contract,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_component,ui-component-order-form,Order review form,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_component,ui-component-order-summary,Order summary,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_component,ui-component-page-header,Checkout page header,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_component,ui-component-status-panel,Order status panel,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_flow,ui-flow-submit-order,Review and submit an order,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_navigation,ui-navigation-order-entry,Open a saved checkout deep link or return from the order list,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",ui_screen,ui-screen-order-entry,Review and submit order,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",view,ui-customer-order-flow,Customer order submission user flow,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",view,ui-order-entry-compact-view,Order entry · compact responsive wireframe,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",view,ui-order-entry-state-map,Order entry screen-state contract,
req-ui-order-experience,functional,must,confirmed,"Customers can review and submit an order through a responsive, accessible, retry-safe web experience.",view,ui-order-entry-wide-view,Order entry · wide responsive wireframe,
